,Time_hrs,mean_inner_CFP,mean_edge_CFP,mean_CFP
27,0.16666666666666663,601.8644067796611,1121.8883006881947,1108.6965345257545
29,0.25,598.2115583075337,1204.443972144343,1155.5965408282057
31,0.33333333333333326,566.341416474211,1398.8092208198602,1221.3162905211325
33,0.41666666666666663,626.7024634334102,1476.3762743280813,1297.0398082703712
35,0.5,696.2344406261932,1523.8376225490194,1349.1947465957621
37,0.5833333333333333,726.2623574144487,1542.238259458363,1370.4057170309873
39,0.6666666666666666,758.8531228551819,1555.7187661198805,1371.5301023241054
41,0.75,789.2285089090341,1570.3430741639413,1373.2468843666193
43,0.8333333333333333,817.6768084445823,1558.540833508735,1370.9810579265895
45,0.9166666666666666,857.6108191653785,1543.7255127668482,1370.1987334844812
47,0.9999999999999999,902.59576427256,1516.292182783387,1360.8764865915275
49,1.0833333333333333,958.7373243738547,1488.5267588070249,1354.0357447468402
51,1.1666666666666665,1017.5885922330098,1467.3696510178643,1352.6622562674095
53,1.25,1062.3371705543775,1466.242358304839,1363.3014206300184
55,1.3333333333333333,1087.0710828796127,1471.7213606286184,1373.7360147942672
57,1.4166666666666665,1110.434717208183,1474.4506242905786,1381.4818286592392
59,1.5,1133.084308430843,1490.168773769144,1399.0523656407902
61,1.5833333333333333,1164.7350223546946,1495.5380445898957,1411.0300007614405
63,1.6666666666666665,1196.5953226761396,1494.4477687626777,1418.4434204562622
65,1.75,1236.2335981170932,1517.7015943046224,1446.155848040682
67,1.8333333333333333,1273.2290098436595,1569.2323432998908,1493.6169662007248
69,1.9166666666666665,1321.1695352839931,1604.2820237863132,1532.4739522700816
71,2.0,1385.4717290357826,1567.6828659239336,1520.2818162438712
73,2.083333333333333,1439.3919957593428,1479.151121160731,1468.7242649614236
75,2.1666666666666665,1478.0224690734665,1396.7541581012895,1418.7076314533178
77,2.25,1519.9322955275509,1333.944419340262,1383.7520513499203
79,2.333333333333333,1539.6520606347706,1308.5664234891472,1372.2299510603586
81,2.4166666666666665,1546.6338698707775,1307.1123885918005,1374.7043055466702
83,2.5,1560.8440468301305,1312.8876255949233,1383.6051156051153
85,2.583333333333333,1582.90988869863,1308.5013114180801,1388.0815021725634
87,2.6666666666666665,1611.4779519331244,1293.2346076809195,1386.8413449717236
89,2.75,1650.6843512235246,1261.1789455607075,1375.9142286025806
91,2.833333333333333,1684.424387328153,1230.8969624776653,1366.6144765084664
